Product Name,Price,Discount,Category,Brand,Rating,Number of Reviews
"Retro Gaming Console Phone Charm, Mini Handheld Design, Yellow and White",149,(40% off),Gaming Consoles,Retro,"3.4 out of 5 stars, rating details",45
Amazon Basics Hi-Speed 4 Port Ultra Slim USB 2.0 Hub for Laptops and Computers (Black),151,(85% off),Computer Accessories,Amazon Basics,"3.9 out of 5 stars, rating details","1,070"
Bowiemall Cable Ties Reusable Adjustable Cord Straps Cable Organizer Cord Wrap Management Wire Ties Electronics Accessories (30),158,(84% off),Computer Accessories,Bowiemall,"4.0 out of 5 stars, rating details",330
"Wolpin Pack of 20 Pcs Cable Clips with Strong Self-Adhesive Wire Holder for Car, Office and Home Wire Organizer Accessories Office, Laptop, Computer (Transparent)",168,(72% off),Computer Accessories,Wolpin,"3.4 out of 5 stars, rating details",659
Electronic Spice 2'' inch Tweeter Speaker max Power 80w Upto 20khz Pack of 2,169,(62% off),Speakers,Electronic,"3.5 out of 5 stars, rating details",294
"ZEBRONICS 180HB USB HUB, 3 Ports, USB 3.0, Transfer Speeds Upto 5 Gbps, Lightweight Design, Multi OS Compatible, Plug and Play",169,(62% off),Computer Accessories,Zebronics,"4.2 out of 5 stars, rating details","1,010"
"Sounce Mouse Pad, Ergonomic Mouse Pad with Comfortable Gel Wrist Rest Support and Lycra Cloth, Non-Slip PU Base for Easy Typing Pain Relief, Durable and Washable, Classic (Black)",169,(66% off),Computer Accessories,Sounce,"4.3 out of 5 stars, rating details","2,537"
"Sounce Mouse Pad, Ergonomic Mouse Pad with Comfortable Gel Wrist Rest Support and Lycra Cloth, Non-Slip PU Base for Easy Typing Pain Relief, Durable and Washable, Classic (Blue)",169,(66% off),Computer Accessories,Sounce,"4.3 out of 5 stars, rating details","2,537"
"Ambrane Unbreakable 3A Fast Charging 1.5m Braided Type C Cable for Smartphones, Tablets & other Type C devices, 480Mbps Data Sync, Quick Charge 3.0 (RCT15A, Black)",169,(52% off),Computer Accessories,Ambrane,"4.0 out of 5 stars, rating details","75,163"
"GLUN 24 In 1 Precision Screwdriver Set, Repair Tool Kit With Case Screwdriver Set For Electronics, Phones, Desktop, Laptop, Multicolour",175,(65% off),Computer Accessories,GLUN,"3.4 out of 5 stars, rating details",4
ATEVON High Speed HDMI Cable with Ethernet | Supports 3D 4K | for All HDMI Devices Laptop Computer Gaming Console TV Set Top Box (15 MTR),176,(82% off),Computer Accessories,ATEVON,No rating,No reviews
iTronix Charger Cable for Fire Boltt Talk/Talk Pro/Thunder/360 Pro/Visionary/Invincible/Invincible Plus/Diamond/Infinity/Infinity Luxe/Eclipse/Quantum/Rock/Emperor/Wonder smartwatches,179,(70% off),Computer Accessories,iTronix,"3.9 out of 5 stars, rating details",458
"amazon basics Wired Gaming Mouse with Up to 6400 DPI, RGB, 4 Programmable Keys",181,(90% off),Computer Accessories,Amazon Basics,"4.3 out of 5 stars, rating details",324
"Tobo Aluminum Heat Sinks for M.2 SSD Heatsink Cooling Radiator, PCIE M.2 SSD Cooling Fin for Laptop Computer Silicone Heat Dissipation Pads + Accessories Included TD-1036PC (Pack of 1, Black)",185,(83% off),Computer Accessories,Tobo,"4.0 out of 5 stars, rating details",142
"amazon basics Wired Gaming Mouse with RGB LED, Lightweight and Durable Design, DPI Up to 2400, Compatible with Windows and MAC",189,(62% off),Computer Accessories,Amazon Basics,"4.1 out of 5 stars, rating details",895
amazon basics Writing Tablet with 8.5-inch rainbow colour LCD screen and Stylus Pen for Kids & Adults (Blue),189,(79% off),Tablets,Amazon Basics,"4.2 out of 5 stars, rating details","1,243"
"JGD PRODUCTS DP to VGA Adapter, HDMI to VGA 1080P Converter, Compatible with Computer, Desktop, Laptop, PC, Monitor, Projector, HDTV (DP to VGA)",189,(81% off),Computer Accessories,JGD,"3.7 out of 5 stars, rating details","4,060"
"EDNITA Mini Laptop Stand for Desk | Portable Metal PC Desk Stand, Aluminium Cooling Pad Mini Clip Compatible with MacBook Apple Laptop, Lenovo, Dell, Hp, Acer & Other Laptops Pack of-2 (Silver)",198,(80% off),Computer Accessories,EDNITA,"4.3 out of 5 stars, rating details",281
"eo Pen Stand Vertical Laptop Holder & Cable Organiser & Set of Coasters Holds 4 Devices Smartphones & Tablet Holder Desk for Office & Study Table All (Modular) (Black, Acrylonitrile Butadiene Styrene)",199,(78% off),Computer Accessories,eo,"3.6 out of 5 stars, rating details",91
"Portronics Mport Mino C High Speed 3-Port USB 2.0, Aluminium Alloy Body, USB Type-C (Grey)",199,(75% off),Computer Accessories,Portronics,"4.1 out of 5 stars, rating details",274
"Portronics Mport Mino A USB 3.0 Hub (3-in-1) with USB 3.0 SuperSpeed, Compact L-Shape Design, 2-Port USB 2.0 High-Speed, USB Plug, Metal Alloy Body, for Laptop, PC, Mac (Grey)",199,(75% off),Computer Accessories,Portronics,"4.0 out of 5 stars, rating details",282
"STRIFF 4 in 1 USB hub Type C Multiport Adapter, Type c to 1 x USB 3.0 to 3 x USB 2.0 with 5000 MBPS Fast Data Transfer Speed for pc, Laptop, MacBook (Silver)",199,(80% off),Computer Accessories,STRIFF,"3.9 out of 5 stars, rating details",482
"Ant Value OM120 Wired Optical Mouse, 1000 DPI, 3ft Cable, Easy and Accurate Scroll Button, Optical Sensor Computer Mouse, Left and Right-Hand Use for Laptop, PC, Mac Notebook and Linux-Matte Black",199,(60% off),Computer Accessories,Ant,"3.8 out of 5 stars, rating details",620
"Sounce 4-Port USB 3.0 Hub for PC â€“ High-Speed Aluminum USB Hub Compatible with PC, MacBook, Mac Pro, Mac Mini, iMac, Surface Pro, and XPS. 4-Port High Speed USB Hub with Aluminium Shell",199,(95% off),Computer Accessories,Sounce,"4.0 out of 5 stars, rating details",718
"Portronics Swipe 2 Screen Cleaner & Duster with Refillable Spray Bottle, Chemical Free for Monitors & Laptop Screen, Smartphones & Tablets(Green)",199,(50% off),Computer Accessories,Portronics,"4.0 out of 5 stars, rating details",724
